Zeitraum Start	Zeitraum Ende	OhdAb	Vorkommen	Normvarianten	Zunft	Gewerbe	Kommentare	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
1400	1700	https://database.factgrid.de/wiki/Item:Q670892	3	schwarzfärber																							
1400	1700	https://database.factgrid.de/wiki/Item:Q520952	3	alt-wirt																							
1400	1700	https://database.factgrid.de/wiki/Item:Q684055	3	mützenkrämer																							
1400	1700	https://database.factgrid.de/wiki/Item:Q665580	3	zirkelschmied																							
1400	1700	#magister	3	magister																							
1400	1700	#helfer	3	helfer																							
1400	1700	https://database.factgrid.de/wiki/Item:Q661246	3	leistenmacher																							
1400	1700	https://database.factgrid.de/wiki/Item:Q689344	3	bergrichter																							
1400	1700	Schaffner	3	Flachslanderschaffner																							
1400	1700	https://database.factgrid.de/wiki/Item:Q659231	3	giesser																							
